Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121593.571204,1186,1709121593,570345006,,2,0,63.23966674946911,9.501871431399191,377.2417418901924,61.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0,224043.6618629343,7024127.782966604,-0.04715388608747162,-0.1197260320186615,3.531247045884811e-07,224043.61857190813,7024127.784347428,0.04331304215624639
1709121593.673217,1187,1709121593,671842407,,2,0,63.23966641277288,9.501870204333796,377.2434790788753,54.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0,224043.59717269283,7024127.750838114,-0.06469024147372693,-0.03212849050760269,5.187910971926613e-07,224043.53357193567,7024127.752866742,0.0636331017931858
1709121593.7617505,1188,1709121593,761026515,,2,0,63.23966541779767,9.501871227046728,377.2454301073309,54.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,224043.63890757956,7024127.635877586,0.041734886734047905,-0.11496052797883749,-3.6996507901676523e-07,224043.6842631363,7024127.634430912,0.0453786226268999
1709121593.8636966,1189,1709121593,862757296,,2,0,63.23966674777885,9.501871361247508,377.2411803104892,56.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0,224043.65833226108,7024127.783080855,0.019424681522650644,0.1472032694146037,-1.2002590210613562e-07,224043.67304673506,7024127.782611518,0.014721957131491877
1709121593.9767897,1190,1709121593,975763816,,2,0,63.23966559787228,9.501871375936176,377.2459758194271,57.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0,224043.64808651333,7024127.655245515,-0.010245747747831047,-0.12783534079790115,5.026345206715632e-08,224043.6419245078,7024127.65544206,0.0061651392766065094
1709121594.0653727,1191,1709121594,64573550,,2,0,63.23966484305896,9.50187212199282,377.2460542167751,58.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0,224043.67825474328,7024127.568161867,0.03016822994686663,-0.08708364795893431,-2.6846623768506106e-07,224043.71116713475,7024127.567112084,0.032929129305834214
1709121594.1648445,1192,1709121594,164183815,,2,0,63.23966593020292,9.501871724078356,377.2406603943495,56.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0,224043.6687018645,7024127.690673446,-0.009552878793329,0.12251157965511084,1.0968599895022635e-07,224043.65525500235,7024127.691102351,0.01345370063295146
1709121594.269888,1193,1709121594,269176411,,2,0,63.2396663592004,9.501870973639086,377.2439662884124,56.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0,224043.635202522,7024127.741572874,-0.033499342476716265,0.05089942738413811,2.86205732891176e-07,224043.60011537196,7024127.7426920235,0.035104993881646174
1709121594.366614,1194,1709121594,365750018,,2,0,63.23966726274387,9.501870653756928,377.24173214160015,62.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0,224043.62780559997,7024127.843347652,-0.007396922039333731,0.10177477821707726,8.672796525388549e-08,224043.61717325824,7024127.843686785,0.010637748898324242
1709121594.471496,1195,1709121594,470837782,,2,0,63.239668003239046,9.501870466143783,377.2418781804574,56.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0,224043.625478112,7024127.926435755,-0.002327487978618592,0.08308810275048018,4.0561729974797345e-08,224043.62050548085,7024127.9265943635,0.00497516002187134
1709121594.5697265,1196,1709121594,568408558,,2,0,63.23966844660335,9.501871483927202,377.247242557949,53.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0,224043.6807022097,7024127.971317829,0.05522409771219827,0.04488207399845123,-4.38339441188873e-07,224043.73444006502,7024127.96960379,0.05376518410774714
1709121594.6666913,1197,1709121594,666071143,,2,0,63.23966781934615,9.501872378623066,377.2396291710068,48.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0,224043.71953527984,7024127.897767584,0.038833070138935,-0.07355024479329586,-3.355559385909146e-07,224043.76067247833,7024127.896455459,0.04115811912225938
1709121594.770259,1198,1709121594,769731108,,2,0,63.23966571397914,9.501872418349716,377.240863833668,51.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0,224043.701419244,7024127.66365826,-0.01811603584792465,-0.2341093234717846,8.67740652665816e-08,224043.69078125045,7024127.663997573,0.010643403574159702
1709121594.8625872,1199,1709121594,860776719,,2,0,63.23966625290562,9.501873547650844,377.2387308659805,55.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0,224043.7631428939,7024127.718678566,0.061723649909254164,0.05502030532807112,-4.886673252713081e-07,224043.82305065164,7024127.71676773,0.05993822427468326
